--Day of max temperature by year

+----+-----+---+---------+--------+
|year|month|day|daily_max|_rankCal|
+----+-----+---+---------+--------+
|1942|    6| 10|     32.9|       1|
|1943|    9|  1|     33.5|       1|
|1944|    1| 26|     13.0|       1|
|1946|    7| 11|     34.4|       1|
|1947|    8|  6|     34.4|       1|
|1948|    8| 27|     36.7|       1|
|1949|    7|  3|     33.9|       1|
|1950|    7|  9|     32.8|       1|
|1951|    8| 30|     32.8|       1|
|1952|    7|  7|     33.3|       1|
|1953|    9|  3|     36.7|       1|
|1954|    6|  9|     31.7|       1|
|1955|    7| 29|     33.9|       1|
|1956|    6| 15|     32.2|       1|
|1957|    6| 18|     35.0|       1|
|1958|    7| 27|     32.2|       1|
|1959|    9|  9|     35.0|       1|
|1960|    7| 26|     32.2|       1|
|1961|    7| 23|     31.7|       1|
|1962|    8| 31|     33.3|       1|
|1963|    7|  1|     33.9|       1|
|1964|    7| 28|     33.9|       1|
|1965|    7|  9|     31.7|       1|
|1966|    7|  2|     33.9|       1|
|1967|    6| 13|     31.7|       1|
|1968|    7| 18|     33.3|       1|
|1969|    6| 27|     33.3|       1|
|1970|    9| 24|     31.1|       1|
|1971|    6| 29|     31.7|       1|
|1973|    7| 24|     32.2|       1|
|1974|    7|  4|     31.7|       1|
|1975|    8|  1|     33.3|       1|
|1976|    6| 10|     31.1|       1|
|1977|    7| 18|     32.8|       1|
|1978|    7| 20|     32.8|       1|
|1979|    6|  9|     32.2|       1|
|1980|    7| 21|     31.7|       1|
|1981|    6| 15|     30.0|       1|
|1982|    7| 16|     33.9|       1|
|1983|    7|  3|     32.2|       1|
|1984|    6|  8|     31.7|       1|
|1985|    7| 25|     32.2|       1|
|1986|    7| 25|     31.1|       1|
|1987|    8| 15|     33.3|       1|
|1988|    7|  6|     35.6|       1|
|1989|    7| 24|     31.7|       1|
|1990|    4| 28|     33.9|       1|
|1991|    5| 23|     32.2|       1|
|1992|    6| 17|     31.7|       1|
|1993|    7|  5|     35.0|       1|
|1994|    6| 18|     35.0|       1|
|1995|    7| 15|     35.6|       1|
|1996|    8|  5|     30.6|       1|
|1997|    7| 14|     30.6|       1|
|1998|    8|  8|     31.7|       1|
|1999|    7| 28|     32.2|       1|
|2000|    6| 14|     31.1|       1|
|2001|    8|  5|     32.8|       1|
|2002|    7| 22|     32.8|       1|
|2003|    6| 26|     30.6|       1|
|2004|    7|  4|     30.6|       1|
|2005|    6| 27|     35.0|       1|
|2006|    5| 30|     32.8|       1|
|2007|    8|  1|     33.3|       1|
|2008|    6|  9|     31.7|       1|
|2009|    8| 17|     31.1|       1|
|2010|    7|  8|     33.3|       1|
|2011|    7| 22|     33.9|       1|
|2012|    8|  4|     35.0|       1|
|2013|    7| 16|     32.8|       1|
|2014|    6| 28|     31.1|       1|
|2015|    7| 29|     32.2|       1|
|2016|    8|  9|     33.3|       1|
|2017|    9| 24|     32.2|       1|
|2018|    5|  9|     28.9|       1|
+----+-----+---+---------+--------+

--day of min temperature by Year

+----+-----+---+---------+--------+
|year|month|day|daily_min|_rankCal|
+----+-----+---+---------+--------+
|1942|   12| 20|    -19.8|       1|
|1943|    2| 14|    -19.8|       1|
|1944|    1|  8|    -15.3|       1|
|1946|    1| 20|    -18.3|       1|
|1947|    2|  5|    -16.1|       1|
|1948|    1| 24|    -19.4|       1|
|1949|    3| 19|    -13.3|       1|
|1950|    2| 20|    -18.9|       1|
|1951|    2|  3|    -19.4|       1|
|1952|    1| 30|    -17.2|       1|
|1953|    3|  2|    -13.9|       1|
|1954|    2| 12|    -17.2|       1|
|1955|   12| 21|    -18.3|       1|
|1956|   12| 30|    -14.4|       1|
|1957|    1| 14|    -18.9|       1|
|1958|    2| 18|    -19.4|       1|
|1959|    2|  2|    -18.9|       1|
|1960|   12| 11|    -19.4|       1|
|1961|    1| 25|    -19.4|       1|
|1962|    2|  2|    -19.4|       1|
|1963|    2|  8|    -19.4|       1|
|1964|    2| 11|    -17.2|       1|
|1965|    1| 15|    -19.4|       1|
|1966|    1| 28|    -19.4|       1|
|1967|    2|  8|    -18.9|       1|
|1968|    1|  9|    -19.4|       1|
|1969|   12| 25|    -17.8|       1|
|1970|    1| 15|    -19.4|       1|
|1971|    2|  1|    -18.9|       1|
|1973|    2| 17|    -19.4|       1|
|1974|    2|  8|    -17.8|       1|
|1975|   12| 24|    -18.3|       1|
|1976|    1| 19|    -19.4|       1|
|1977|    1| 18|    -19.9|       1|
|1978|    2|  5|    -19.4|       1|
|1979|    1| 11|    -19.4|       1|
|1980|    2| 29|    -19.4|       1|
|1981|    1|  4|    -19.4|       1|
